         499553 function calls (480924 primitive calls) in 1.255 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
      227    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
        2    0.000    0.000    0.031    0.016 connection.py:1(<module>)
        3    0.000    0.000    0.000    0.000 socket.py:220(__init__)
    35/27    0.000    0.000    0.011    0.000 css_parser.py:557(parse_pseudo_class)
      188    0.000    0.000    0.001    0.000 _collections_abc.py:849(__iter__)
       77    0.000    0.000    0.001    0.000 css_types.py:228(__init__)
        1    0.000    0.000    0.000    0.000 {method 'set_ciphers' of '_ssl._SSLContext' objects}
       12    0.000    0.000    0.000    0.000 datetime.py:492(__new__)
      938    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      169    0.000    0.000    0.006    0.000 sre_parse.py:96(closegroup)
      316    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
    39/18    0.000    0.000    0.153    0.009 {built-in method builtins.__import__}
       42    0.000    0.000    0.000    0.000 enum.py:582(_find_data_type)
        1    0.000    0.000    0.000    0.000 random.py:101(Random)
       29    0.000    0.000    0.000    0.000 ipaddress.py:1608(_ip_int_from_string)
        1    0.000    0.000    0.000    0.000 traceback.py:318(StackSummary)
       87    0.000    0.000    0.000    0.000 __init__.py:91(_replace_charref)
      471    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.032    0.032 dammit.py:2310(EntitySubstitution)
       66    0.000    0.000    0.002    0.000 _htmlparser.py:104(handle_startendtag)
        3    0.000    0.000    0.010    0.003 request.py:1(<module>)
       49    0.000    0.000    0.001    0.000 enum.py:971(__or__)
  137/132    0.000    0.000    0.001    0.000 css_parser.py:373(_freeze_relations)
    41/11    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1556(_fill_cache)
        1    0.000    0.000    0.000    0.000 status_codes.py:107(_init)
      144    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 ssl.py:1298(_real_close)
        1    0.000    0.000    0.004    0.004 socket.py:4(<module>)
      332    0.000    0.000    0.000    0.000 os.py:758(decode)
       43    0.000    0.000    0.000    0.000 typing.py:137(_type_check)
      191    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:811(find_spec)
      178    0.000    0.000    0.000    0.000 os.py:754(encode)
      336    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.066    0.066 css_parser.py:1(<module>)
      430    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
       19    0.000    0.000    0.000    0.000 parse.py:437(urlsplit)
       24    0.000    0.000    0.000    0.000 typing.py:734(__init__)
        1    0.000    0.000    0.002    0.002 datetime.py:1(<module>)
      233    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
      234    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
      236    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
      235    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
      145    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1006(__init__)
       16    0.000    0.000    0.000    0.000 <frozen zipimport>:63(__init__)
       11    0.000    0.000    0.000    0.000 enum.py:938(_create_pseudo_member_)
        2    0.000    0.000    0.001    0.000 request.py:2486(getproxies_environment)
        5    0.000    0.000    0.000    0.000 url.py:210(_encode_invalid_chars)
       80    0.000    0.000    0.000    0.000 ipaddress.py:1201(_parse_octet)
        3    0.000    0.000    0.126    0.042 __init__.py:2(<module>)
       70    0.000    0.000    0.000    0.000 css_types.py:214(__init__)
       22    0.000    0.000    0.011    0.001 <frozen importlib._bootstrap_external>:1171(create_module)
      466    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      194    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(find_spec)
      145    0.000    0.000    0.000    0.000 socket.py:729(readable)
      731    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
       91    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        3    0.000    0.000    0.001    0.000 response.py:1(<module>)
      300    0.000    0.000    0.000    0.000 enum.py:792(value)
        1    0.000    0.000    0.780    0.780 connectionpool.py:361(_make_request)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1466(__init__)
      153    0.000    0.000    0.000    0.000 typing.py:660(_is_dunder)
      465    0.000    0.000    0.000    0.000 css_types.py:69(__hash__)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
        1    0.000    0.000    0.035    0.035 connectionpool.py:1(<module>)
