         589740 function calls (568554 primitive calls) in 1.148 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      145    0.000    0.000    0.636    0.004 ssl.py:1219(recv)
      145    0.001    0.000    0.638    0.004 sync.py:22(read)
      145    0.000    0.000    0.000    0.000 _connection.py:310(receive_data)
      145    0.000    0.000    0.000    0.000 _receivebuffer.py:52(__iadd__)
      145    0.000    0.000    0.000    0.000 _receivebuffer.py:56(__bool__)
      141    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
  141/140    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      137    0.000    0.000    0.001    0.000 css_parser.py:357(__init__)
  137/132    0.000    0.000    0.001    0.000 css_parser.py:373(_freeze_relations)
  137/132    0.000    0.000    0.003    0.000 css_parser.py:383(freeze)
      137    0.000    0.000    0.002    0.000 css_types.py:179(__init__)
      136    0.000    0.000    0.000    0.000 enum.py:438(<genexpr>)
      135    0.000    0.000    0.000    0.000 enum.py:551(<lambda>)
      130    0.000    0.000    0.000    0.000 typing.py:915(<genexpr>)
      123    0.000    0.000    0.000    0.000 {built-in method sys.intern}
      122    0.000    0.000    0.000    0.000 ssl.py:124(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:129(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:134(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:139(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:144(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:149(<lambda>)
      121    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      120    0.000    0.000    0.000    0.000 typing.py:216(_deduplicate)
      117    0.002    0.000    0.003    0.000 sre_compile.py:492(_get_charset_prefix)
      115    0.000    0.000    0.001    0.000 typing.py:230(_remove_dups_flatten)
      115    0.000    0.000    0.004    0.000 typing.py:431(Union)
      112    0.000    0.000    0.003    0.000 typing.py:827(__getitem__)
      106    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
      105    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
      101    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      100    0.000    0.000    0.000    0.000 {built-in method builtins.all}
      100    0.000    0.000    0.000    0.000 _models.py:857(encoding)
       98    0.003    0.000    0.003    0.000 {built-in method posix.getcwd}
       98    0.000    0.000    0.000    0.000 constant.py:342(<lambda>)
