         589089 function calls (567899 primitive calls) in 1.436 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  197/159    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
      261    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
      376    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
      287    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
      112    0.000    0.000    0.003    0.000 typing.py:827(__getitem__)
     1701    0.000    0.000    0.000    0.000 element.py:1882(descendants)
      187    0.000    0.000    0.000    0.000 _receivebuffer.py:66(_extract)
     1065    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      950    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
      669    0.000    0.000    0.001    0.000 typing.py:128(_type_convert)
      843    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:878(__exit__)
      751    0.000    0.000    0.000    0.000 _connection.py:182(their_state)
       54    0.000    0.000    0.004    0.000 dataclasses.py:377(_create_fn)
  440/244    0.000    0.000    0.000    0.000 typing.py:928(__hash__)
      288    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:156(__enter__)
     1578    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      843    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:874(__enter__)
      448    0.000    0.000    0.007    0.000 sre_parse.py:96(closegroup)
     1578    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      280    0.000    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:1406(find_spec)
      236    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:593(_validate_timestamp_pyc)
      115    0.000    0.000    0.001    0.000 typing.py:230(_remove_dups_flatten)
      177    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
  238/237    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:523(_check_name_wrapper)
      422    0.000    0.000    0.000    0.000 _htmlparser.py:189(handle_data)
      142    0.000    0.000    0.000    0.000 _connection.py:310(receive_data)
       85    0.000    0.000    0.001    0.000 css_parser.py:759(parse_combinator)
      704    0.000    0.000    0.000    0.000 element.py:1456(get)
      137    0.000    0.000    0.002    0.000 css_types.py:179(__init__)
      455    0.000    0.000    0.000    0.000 enum.py:670(__new__)
      142    0.000    0.000    0.718    0.005 ssl.py:1219(recv)
  531/399    0.000    0.000    0.001    0.000 typing.py:751(__hash__)
      157    0.000    0.000    0.001    0.000 _state.py:226(process_event)
      428    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
       94    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
      283    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:351(__init__)
    340/3    0.000    0.000    0.296    0.099 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      236    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1077(path_stats)
     1676    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      485    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      142    0.000    0.000    0.718    0.005 ssl.py:1090(read)
       59    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      508    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
      567    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      142    0.000    0.000    0.000    0.000 _receivebuffer.py:52(__iadd__)
      190    0.000    0.000    0.001    0.000 css_types.py:303(__init__)
      349    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
      158    0.000    0.000    0.000    0.000 _connection.py:292(_respond_to_state_changes)
   170/66    0.000    0.000    0.148    0.002 <frozen importlib._bootstrap>:1033(_handle_fromlist)
     1019    0.000    0.000    0.000    0.000 typing.py:738(<genexpr>)
      900    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      884    0.000    0.000    0.000    0.000 _exceptions.py:5(map_exceptions)
       65    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
     1340    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      236    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      583    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      429    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
     1313    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      352    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
      424    0.000    0.000    0.000    0.000 __init__.py:739(handle_data)
      236    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1006(__init__)
      288    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:160(__exit__)
     1651    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        1    0.000    0.000    0.000    0.000 threading.py:386(Semaphore)
      897    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      157    0.000    0.000    0.002    0.000 typing.py:836(copy_with)
      295    0.000    0.000    0.000    0.000 css_parser.py:236(css_unescape)
      236    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      186    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      158    0.000    0.000    0.000    0.000 _state.py:246(_fire_event_triggered_transitions)
      998    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      320    0.000    0.000    0.132    0.000 re.py:250(compile)
      728    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      354    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
      160    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
       70    0.000    0.000    0.001    0.000 css_parser.py:520(parse_tag_pattern)
      268    0.000    0.000    0.000    0.000 css_parser.py:332(match)
       13    0.000    0.000    0.003    0.000 enum.py:475(_create_)
      249    0.000    0.000    0.000    0.000 types.py:171(__get__)
      563    0.000    0.000    0.000    0.000 typing.py:745(__eq__)
      177    0.000    0.000    0.000    0.000 sre_parse.py:921(fix_flags)
      120    0.000    0.000    0.000    0.000 typing.py:216(_deduplicate)
      152    0.000    0.000    0.006    0.000 _decoders.py:74(decode)
    49/21    0.000    0.000    0.174    0.008 {built-in method builtins.__import__}
       37    0.000    0.000    0.000    0.000 dataclasses.py:671(_get_field)
      305    0.000    0.000    0.000    0.000 _decoders.py:173(decode)
       78    0.000    0.000    0.001    0.000 parser.py:122(set_cdata_mode)
      308    0.000    0.000    0.000    0.000 _events.py:85(__eq__)
       63    0.000    0.000    0.000    0.000 enum.py:582(_find_data_type)
      284    0.000    0.000    0.000    0.000 _receivebuffer.py:59(__len__)
      178    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
       43    0.000    0.000    0.001    0.000 typing.py:980(__class_getitem__)
      288    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:152(__init__)
      401    0.000    0.000    0.001    0.000 typing.py:463(<genexpr>)
      220    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      360    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
       27    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1556(_fill_cache)
      142    0.000    0.000    0.000    0.000 _receivebuffer.py:56(__bool__)
       15    0.000    0.000    0.000    0.000 _util.py:105(make_sentinel)
       47    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
      280    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:811(find_spec)
      745    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      466    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
  137/132    0.000    0.000    0.001    0.000 css_parser.py:373(_freeze_relations)
       77    0.000    0.000    0.001    0.000 css_types.py:228(__init__)
        1    0.000    0.000    0.000    0.000 _fileio.py:184(Path)
       27    0.000    0.000    0.000    0.000 <frozen zipimport>:63(__init__)
       27    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1466(__init__)
       26    0.000    0.000    0.000    0.000 typing.py:1002(__init_subclass__)
       51    0.000    0.000    0.000    0.000 __init__.py:617(_linkage_fixer)
       45    0.000    0.000    0.001    0.000 typing.py:904(__getitem__)
      148    0.000    0.000    0.000    0.000 typing.py:204(_check_generic)
        2    0.000    0.000    0.008    0.004 _sockets.py:1(<module>)
      153    0.000    0.000    0.121    0.001 _client.py:121(__iter__)
       27    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1585(<setcomp>)
      939    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        1    0.000    0.000    0.001    0.001 parse.py:1(<module>)
     1008    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      153    0.000    0.000    0.121    0.001 http11.py:284(__iter__)
    31/26    0.000    0.000    0.011    0.000 css_parser.py:704(parse_pseudo_open)
      154    0.000    0.000    0.000    0.000 _connection.py:218(_server_switch_event)
      314    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
       26    0.000    0.000    0.000    0.000 typing.py:623(__init__)
       12    0.000    0.000    0.000    0.000 datetime.py:492(__new__)
        1    0.000    0.000    0.005    0.005 __init__.py:17(<module>)
